# RA = 02 32 48.60 (38.2025)
# Dec = +20 17 17.00 (20.288055)
# Redshift = 0.0
# nH = 7.82E20 cm^-2 
# NuBlazar (id = 67)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.2700E17     1.0160E17    4.0767E-12   1.1618E-13    59434.243900463    59436.657094907
1.0300E18     1.0160E17    3.9994E-12   1.1083E-13    59434.243900463    59436.657094907
1.2330E18     1.0160E17    3.7110E-12   1.1243E-13    59434.243900463    59436.657094907
1.4360E18     1.0160E17    3.6598E-12   1.1876E-13    59434.243900463    59436.657094907
1.6390E18     1.0160E17    3.5943E-12   1.2731E-13    59434.243900463    59436.657094907
1.8430E18     1.0160E17    3.5079E-12   1.3759E-13    59434.243900463    59436.657094907
2.0460E18     1.0160E17    3.5644E-12   1.5041E-13    59434.243900463    59436.657094907
2.2490E18     1.0160E17    3.3220E-12   1.5771E-13    59434.243900463    59436.657094907
2.4520E18     1.0160E17    3.3493E-12   1.7879E-13    59434.243900463    59436.657094907
2.6550E18     1.0160E17    3.1834E-12   1.9643E-13    59434.243900463    59436.657094907
2.8580E18     1.0160E17    3.2596E-12   2.2931E-13    59434.243900463    59436.657094907
3.0610E18     1.0160E17    3.0949E-12   2.4773E-13    59434.243900463    59436.657094907
3.2640E18     1.0160E17    2.8540E-12   2.6309E-13    59434.243900463    59436.657094907
3.4670E18     1.0160E17    2.9861E-12   2.9694E-13    59434.243900463    59436.657094907
3.6710E18     1.0160E17    2.6116E-12   3.0476E-13    59434.243900463    59436.657094907
3.8760E18     1.0400E17    2.6873E-12   3.3082E-13    59434.243900463    59436.657094907
4.0840E18     1.0400E17    2.5496E-12   3.5299E-13    59434.243900463    59436.657094907
4.2920E18     1.0400E17    2.5620E-12   3.8487E-13    59434.243900463    59436.657094907
4.5120E18     1.1610E17    2.3942E-12   3.8287E-13    59434.243900463    59436.657094907
4.7440E18     1.1610E17    2.5530E-12   4.3001E-13    59434.243900463    59436.657094907
4.9840E18     1.2330E17    2.0646E-12   4.1822E-13    59434.243900463    59436.657094907
5.2180E18     1.1120E17    2.5228E-12   5.4376E-13    59434.243900463    59436.657094907
5.4650E18     1.3540E17    2.2559E-12   5.3050E-13    59434.243900463    59436.657094907
5.7230E18     1.2330E17    2.6246E-12   6.6014E-13    59434.243900463    59436.657094907
5.9750E18     1.2820E17    2.6067E-12   8.3666E-13    59434.243900463    59436.657094907
6.2670E18     1.6440E17    1.9932E-12   7.0734E-13    59434.243900463    59436.657094907
6.5990E18     1.6680E17    1.8357E-12   8.6658E-13    59434.243900463    59436.657094907
6.9060E18     1.4020E17    3.2840E-12   1.2135E-12    59434.243900463    59436.657094907
7.5200E18     1.6440E17    3.6295E-12   1.3595E-12    59434.243900463    59436.657094907
8.2700E17     1.0160E17    4.2413E-12   1.5300E-13    59437.202199074    59438.670902778
1.0300E18     1.0160E17    4.1424E-12   1.4532E-13    59437.202199074    59438.670902778
1.2330E18     1.0160E17    3.9976E-12   1.5001E-13    59437.202199074    59438.670902778
1.4360E18     1.0160E17    3.7161E-12   1.5437E-13    59437.202199074    59438.670902778
1.6390E18     1.0160E17    3.6857E-12   1.6634E-13    59437.202199074    59438.670902778
1.8430E18     1.0160E17    3.6266E-12   1.8028E-13    59437.202199074    59438.670902778
2.0460E18     1.0160E17    3.2112E-12   1.8438E-13    59437.202199074    59438.670902778
2.2490E18     1.0160E17    3.1813E-12   1.9982E-13    59437.202199074    59438.670902778
2.4520E18     1.0160E17    3.1819E-12   2.2562E-13    59437.202199074    59438.670902778
2.6550E18     1.0160E17    3.0518E-12   2.4867E-13    59437.202199074    59438.670902778
2.8580E18     1.0160E17    3.1308E-12   2.9035E-13    59437.202199074    59438.670902778
3.0640E18     1.0400E17    2.4013E-12   2.8046E-13    59437.202199074    59438.670902778
3.2740E18     1.0640E17    3.0605E-12   3.4470E-13    59437.202199074    59438.670902778
3.4870E18     1.0640E17    2.7317E-12   3.6221E-13    59437.202199074    59438.670902778
3.7000E18     1.0640E17    2.6712E-12   3.9591E-13    59437.202199074    59438.670902778
3.9170E18     1.1120E17    2.7397E-12   4.2807E-13    59437.202199074    59438.670902778
4.1570E18     1.2820E17    2.3322E-12   4.1015E-13    59437.202199074    59438.670902778
4.4180E18     1.3300E17    2.6572E-12   4.7176E-13    59437.202199074    59438.670902778
4.7030E18     1.5230E17    2.6689E-12   4.9798E-13    59437.202199074    59438.670902778
5.0000E18     1.4510E17    2.0914E-12   5.1824E-13    59437.202199074    59438.670902778
5.2830E18     1.3780E17    2.5913E-12   6.7158E-13    59437.202199074    59438.670902778
5.6120E18     1.9100E17    2.1359E-12   6.2578E-13    59437.202199074    59438.670902778
6.4050E18     2.1040E17    2.3905E-12   9.4578E-13    59437.202199074    59438.670902778
6.8410E18     2.2490E17    2.5459E-12   1.1056E-12    59437.202199074    59438.670902778
7.8220E18     2.5390E17    3.6129E-12   1.4941E-12    59437.202199074    59438.670902778
9.3770E18     4.1590E17    3.5038E-12   1.6805E-12    59437.202199074    59438.670902778
8.2700E17     1.0160E17    5.2149E-12   1.7190E-13    59439.216099537    59440.615405093
1.0300E18     1.0160E17    4.9257E-12   1.6099E-13    59439.216099537    59440.615405093
1.2330E18     1.0160E17    5.0544E-12   1.7158E-13    59439.216099537    59440.615405093
1.4360E18     1.0160E17    4.6018E-12   1.7439E-13    59439.216099537    59440.615405093
1.6390E18     1.0160E17    4.4222E-12   1.8484E-13    59439.216099537    59440.615405093
1.8430E18     1.0160E17    4.3472E-12   2.0035E-13    59439.216099537    59440.615405093
2.0460E18     1.0160E17    4.0671E-12   2.1061E-13    59439.216099537    59440.615405093
2.2490E18     1.0160E17    4.0776E-12   2.2882E-13    59439.216099537    59440.615405093
2.4520E18     1.0160E17    3.9507E-12   2.5469E-13    59439.216099537    59440.615405093
2.6550E18     1.0160E17    3.9386E-12   2.8518E-13    59439.216099537    59440.615405093
2.8580E18     1.0160E17    3.7179E-12   3.2129E-13    59439.216099537    59440.615405093
3.0610E18     1.0160E17    3.7111E-12   3.5389E-13    59439.216099537    59440.615405093
3.2670E18     1.0400E17    3.6209E-12   3.8491E-13    59439.216099537    59440.615405093
3.4770E18     1.0640E17    3.1271E-12   3.9196E-13    59439.216099537    59440.615405093
3.6870E18     1.0400E17    4.2462E-12   4.9824E-13    59439.216099537    59440.615405093
3.9030E18     1.1120E17    3.8306E-12   4.9973E-13    59439.216099537    59440.615405093
4.1280E18     1.1360E17    3.2848E-12   5.0550E-13    59439.216099537    59440.615405093
4.3570E18     1.1610E17    3.2142E-12   5.4107E-13    59439.216099537    59440.615405093
4.6010E18     1.2820E17    3.0246E-12   5.4917E-13    59439.216099537    59440.615405093
4.8630E18     1.3300E17    3.3713E-12   6.2323E-13    59439.216099537    59440.615405093
5.1240E18     1.2820E17    3.8373E-12   7.5793E-13    59439.216099537    59440.615405093
5.4480E18     1.9590E17    2.3585E-12   5.9712E-13    59439.216099537    59440.615405093
5.8200E18     1.7650E17    2.6181E-12   8.0462E-13    59439.216099537    59440.615405093
6.1710E18     1.7410E17    2.6405E-12   9.9197E-13    59439.216099537    59440.615405093
6.5550E18     2.1040E17    2.0691E-12   9.9819E-13    59439.216099537    59440.615405093
6.9350E18     1.6930E17    4.9940E-12   1.6076E-12    59439.216099537    59440.615405093
7.8490E18     2.7080E17    4.4546E-12   1.5386E-12    59439.216099537    59440.615405093
8.2700E17     1.0160E17    1.2516E-11   4.5130E-13    56567.004201389    56567.396597222
1.0300E18     1.0160E17    1.2278E-11   4.3089E-13    56567.004201389    56567.396597222
1.2330E18     1.0160E17    1.2974E-11   4.6578E-13    56567.004201389    56567.396597222
1.4360E18     1.0160E17    1.2307E-11   4.8430E-13    56567.004201389    56567.396597222
1.6390E18     1.0160E17    1.2536E-11   5.2901E-13    56567.004201389    56567.396597222
1.8430E18     1.0160E17    1.3027E-11   5.8997E-13    56567.004201389    56567.396597222
2.0460E18     1.0160E17    1.2103E-11   6.1866E-13    56567.004201389    56567.396597222
2.2490E18     1.0160E17    1.2846E-11   6.9327E-13    56567.004201389    56567.396597222
2.4520E18     1.0160E17    1.3082E-11   7.8904E-13    56567.004201389    56567.396597222
2.6550E18     1.0160E17    1.2939E-11   8.8575E-13    56567.004201389    56567.396597222
2.8580E18     1.0160E17    1.3266E-11   1.0390E-12    56567.004201389    56567.396597222
3.0610E18     1.0160E17    1.1580E-11   1.0851E-12    56567.004201389    56567.396597222
3.2640E18     1.0160E17    1.2645E-11   1.2501E-12    56567.004201389    56567.396597222
3.4670E18     1.0160E17    1.1710E-11   1.3364E-12    56567.004201389    56567.396597222
3.6750E18     1.0640E17    1.1461E-11   1.4186E-12    56567.004201389    56567.396597222
3.8880E18     1.0640E17    1.2569E-11   1.6246E-12    56567.004201389    56567.396597222
4.0990E18     1.0400E17    1.2481E-11   1.7832E-12    56567.004201389    56567.396597222
4.3190E18     1.1610E17    1.1509E-11   1.7878E-12    56567.004201389    56567.396597222
4.5480E18     1.1360E17    1.1103E-11   1.9678E-12    56567.004201389    56567.396597222
4.7760E18     1.1360E17    1.2946E-11   2.2719E-12    56567.004201389    56567.396597222
5.0270E18     1.3780E17    1.1283E-11   2.1823E-12    56567.004201389    56567.396597222
5.2980E18     1.3300E17    9.9737E-12   2.3956E-12    56567.004201389    56567.396597222
5.5610E18     1.3060E17    1.1385E-11   2.8445E-12    56567.004201389    56567.396597222
5.8470E18     1.5480E17    6.9059E-12   2.5779E-12    56567.004201389    56567.396597222
6.1440E18     1.4270E17    1.3989E-11   3.7330E-12    56567.004201389    56567.396597222
6.8480E18     1.5960E17    1.0457E-11   5.1665E-12    56567.004201389    56567.396597222
7.6170E18     2.0310E17    1.1811E-11   5.4114E-12    56567.004201389    56567.396597222
8.0230E18     2.0310E17    1.5210E-11   6.3637E-12    56567.004201389    56567.396597222
8.2700E17     1.0160E17    1.3971E-11   4.2113E-13    56570.979895833    56571.427905093
1.0300E18     1.0160E17    1.3333E-11   3.9657E-13    56570.979895833    56571.427905093
1.2330E18     1.0160E17    1.3865E-11   4.2573E-13    56570.979895833    56571.427905093
1.4360E18     1.0160E17    1.4222E-11   4.5902E-13    56570.979895833    56571.427905093
1.6390E18     1.0160E17    1.4194E-11   4.9611E-13    56570.979895833    56571.427905093
1.8430E18     1.0160E17    1.5095E-11   5.5808E-13    56570.979895833    56571.427905093
2.0460E18     1.0160E17    1.4980E-11   6.0296E-13    56570.979895833    56571.427905093
2.2490E18     1.0160E17    1.4670E-11   6.4874E-13    56570.979895833    56571.427905093
2.4520E18     1.0160E17    1.3849E-11   7.1000E-13    56570.979895833    56571.427905093
2.6550E18     1.0160E17    1.3354E-11   7.8328E-13    56570.979895833    56571.427905093
