# RA = 12 56 11.10 (194.04625)
# Dec = -05 47 21.00 (-5.789167)
# Redshift = 0.0
# nH = 2.24E20 cm^-2 
# NuBlazar (id = 144)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.2700E17     1.0160E17    6.9824E-12   2.1178E-13    56642.243796296    56643.170902778
1.0300E18     1.0160E17    7.8088E-12   2.1677E-13    56642.243796296    56643.170902778
1.2330E18     1.0160E17    7.8735E-12   2.2932E-13    56642.243796296    56643.170902778
1.4360E18     1.0160E17    8.2527E-12   2.5040E-13    56642.243796296    56643.170902778
1.6390E18     1.0160E17    8.3692E-12   2.7292E-13    56642.243796296    56643.170902778
1.8430E18     1.0160E17    9.0492E-12   3.0968E-13    56642.243796296    56643.170902778
2.0460E18     1.0160E17    9.0894E-12   3.3709E-13    56642.243796296    56643.170902778
2.2490E18     1.0160E17    9.2433E-12   3.6909E-13    56642.243796296    56643.170902778
2.4520E18     1.0160E17    9.2291E-12   4.1449E-13    56642.243796296    56643.170902778
2.6550E18     1.0160E17    9.4156E-12   4.7041E-13    56642.243796296    56643.170902778
2.8580E18     1.0160E17    9.7192E-12   5.5032E-13    56642.243796296    56643.170902778
3.0610E18     1.0160E17    9.7005E-12   6.0516E-13    56642.243796296    56643.170902778
3.2640E18     1.0160E17    1.0969E-11   7.0935E-13    56642.243796296    56643.170902778
3.4670E18     1.0160E17    1.0708E-11   7.6700E-13    56642.243796296    56643.170902778
3.6710E18     1.0160E17    1.0173E-11   8.1519E-13    56642.243796296    56643.170902778
3.8740E18     1.0160E17    1.1599E-11   9.4523E-13    56642.243796296    56643.170902778
4.0770E18     1.0160E17    1.1888E-11   1.0314E-12    56642.243796296    56643.170902778
4.2800E18     1.0160E17    1.1615E-11   1.1043E-12    56642.243796296    56643.170902778
4.4830E18     1.0160E17    1.0291E-11   1.1203E-12    56642.243796296    56643.170902778
4.6890E18     1.0400E17    1.2349E-11   1.2927E-12    56642.243796296    56643.170902778
4.8990E18     1.0640E17    1.0721E-11   1.2820E-12    56642.243796296    56643.170902778
5.1070E18     1.0160E17    1.3056E-11   1.5456E-12    56642.243796296    56643.170902778
5.3100E18     1.0160E17    1.2007E-11   1.6086E-12    56642.243796296    56643.170902778
5.5200E18     1.0880E17    1.0846E-11   1.6111E-12    56642.243796296    56643.170902778
5.7400E18     1.1120E17    1.1535E-11   1.7818E-12    56642.243796296    56643.170902778
5.9600E18     1.0880E17    1.1864E-11   2.0181E-12    56642.243796296    56643.170902778
6.1760E18     1.0640E17    1.2210E-11   2.2410E-12    56642.243796296    56643.170902778
6.4050E18     1.2330E17    1.2231E-11   2.2072E-12    56642.243796296    56643.170902778
6.6450E18     1.1610E17    1.4534E-11   2.8263E-12    56642.243796296    56643.170902778
6.8890E18     1.2820E17    1.0551E-11   2.7955E-12    56642.243796296    56643.170902778
7.1450E18     1.2820E17    1.2775E-11   2.8805E-12    56642.243796296    56643.170902778
7.3870E18     1.1360E17    1.3814E-11   3.7511E-12    56642.243796296    56643.170902778
7.6380E18     1.3780E17    1.4055E-11   3.3472E-12    56642.243796296    56643.170902778
7.9310E18     1.5480E17    1.6285E-11   3.5177E-12    56642.243796296    56643.170902778
8.2790E18     1.9340E17    9.9883E-12   2.8222E-12    56642.243796296    56643.170902778
8.6420E18     1.6930E17    1.6242E-11   3.8553E-12    56642.243796296    56643.170902778
9.0090E18     1.9830E17    1.2982E-11   3.6108E-12    56642.243796296    56643.170902778
9.3840E18     1.7650E17    1.7885E-11   4.6735E-12    56642.243796296    56643.170902778
9.8190E18     2.5870E17    1.3493E-11   3.8461E-12    56642.243796296    56643.170902778
1.0410E19     3.3370E17    9.5420E-12   3.4614E-12    56642.243796296    56643.170902778
1.1630E19     2.6110E17    1.6228E-11   6.0588E-12    56642.243796296    56643.170902778
8.6080E17     1.3540E17    1.4695E-11   2.5045E-13    56657.990405093    56658.924398148
1.1320E18     1.3540E17    1.5700E-11   2.5906E-13    56657.990405093    56658.924398148
1.4020E18     1.3540E17    1.6437E-11   2.8787E-13    56657.990405093    56658.924398148
1.6730E18     1.3540E17    1.7660E-11   3.3122E-13    56657.990405093    56658.924398148
1.9440E18     1.3540E17    1.8644E-11   3.8104E-13    56657.990405093    56658.924398148
2.2150E18     1.3540E17    1.9300E-11   4.3294E-13    56657.990405093    56658.924398148
