# RA = 22 02 43.20 (330.68)
# Dec = +42 16 40.00 (42.277778)
# Redshift = 0.0
# nH = 1.75E21 cm^-2 
# NuBlazar (id = 127)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.2700E17     1.0160E17    1.2862E-11   3.9078E-13    56272.608402778    56273.104895833
1.0300E18     1.0160E17    1.2806E-11   3.7560E-13    56272.608402778    56273.104895833
1.2330E18     1.0160E17    1.3163E-11   4.0030E-13    56272.608402778    56273.104895833
1.4360E18     1.0160E17    1.3282E-11   4.2860E-13    56272.608402778    56273.104895833
1.6390E18     1.0160E17    1.3429E-11   4.6591E-13    56272.608402778    56273.104895833
1.8430E18     1.0160E17    1.3980E-11   5.1985E-13    56272.608402778    56273.104895833
2.0460E18     1.0160E17    1.3936E-11   5.6260E-13    56272.608402778    56273.104895833
2.2490E18     1.0160E17    1.4373E-11   6.1994E-13    56272.608402778    56273.104895833
2.4520E18     1.0160E17    1.4168E-11   6.9338E-13    56272.608402778    56273.104895833
2.6550E18     1.0160E17    1.4063E-11   7.7693E-13    56272.608402778    56273.104895833
2.8580E18     1.0160E17    1.4880E-11   9.2060E-13    56272.608402778    56273.104895833
3.0610E18     1.0160E17    1.3632E-11   9.6888E-13    56272.608402778    56273.104895833
3.2640E18     1.0160E17    1.6869E-11   1.1894E-12    56272.608402778    56273.104895833
3.4670E18     1.0160E17    1.4423E-11   1.2058E-12    56272.608402778    56273.104895833
3.6730E18     1.0400E17    1.5688E-11   1.3537E-12    56272.608402778    56273.104895833
3.8780E18     1.0160E17    1.7938E-11   1.5884E-12    56272.608402778    56273.104895833
4.0820E18     1.0160E17    1.4492E-11   1.5476E-12    56272.608402778    56273.104895833
4.2870E18     1.0400E17    1.5837E-11   1.7242E-12    56272.608402778    56273.104895833
4.4930E18     1.0160E17    1.5344E-11   1.8414E-12    56272.608402778    56273.104895833
4.6960E18     1.0160E17    1.6950E-11   2.0790E-12    56272.608402778    56273.104895833
4.9090E18     1.1120E17    1.6437E-11   2.1081E-12    56272.608402778    56273.104895833
5.1240E18     1.0400E17    1.6750E-11   2.3702E-12    56272.608402778    56273.104895833
5.3440E18     1.1610E17    1.6373E-11   2.3847E-12    56272.608402778    56273.104895833
5.5880E18     1.2820E17    1.4248E-11   2.3916E-12    56272.608402778    56273.104895833
5.8590E18     1.4270E17    1.2998E-11   2.4202E-12    56272.608402778    56273.104895833
6.1250E18     1.2330E17    1.7810E-11   3.3473E-12    56272.608402778    56273.104895833
6.3960E18     1.4750E17    1.5071E-11   3.0041E-12    56272.608402778    56273.104895833
6.7000E18     1.5720E17    1.4536E-11   3.4701E-12    56272.608402778    56273.104895833
7.0340E18     1.7650E17    1.3354E-11   3.5387E-12    56272.608402778    56273.104895833
7.3770E18     1.6680E17    1.6690E-11   4.3663E-12    56272.608402778    56273.104895833
7.7380E18     1.9340E17    1.5295E-11   4.0909E-12    56272.608402778    56273.104895833
8.1830E18     2.5150E17    1.3872E-11   3.7888E-12    56272.608402778    56273.104895833
8.6370E18     2.0310E17    2.1734E-11   5.4387E-12    56272.608402778    56273.104895833
9.1010E18     2.6110E17    2.0606E-11   5.2269E-12    56272.608402778    56273.104895833
9.6430E18     2.8050E17    2.2135E-11   5.8930E-12    56272.608402778    56273.104895833
1.0300E19     3.7480E17    1.9176E-11   5.3450E-12    56272.608402778    56273.104895833
1.1060E19     3.8930E17    2.0981E-11   6.5067E-12    56272.608402778    56273.104895833
1.2020E19     5.7060E17    1.8443E-11   6.4692E-12    56272.608402778    56273.104895833
1.4350E19     5.3200E17    3.1656E-11   1.2539E-11    56272.608402778    56273.104895833
8.6080E17     1.3540E17    3.8025E-12   6.4778E-14    58740.233402778    58745.250798611
1.1320E18     1.3540E17    3.8035E-12   6.4644E-14    58740.233402778    58745.250798611
1.4020E18     1.3540E17    3.9021E-12   7.0999E-14    58740.233402778    58745.250798611
1.6730E18     1.3540E17    3.9857E-12   7.9710E-14    58740.233402778    58745.250798611
1.9440E18     1.3540E17    4.1638E-12   9.1388E-14    58740.233402778    58745.250798611
2.2150E18     1.3540E17    4.2916E-12   1.0355E-13    58740.233402778    58745.250798611
2.4860E18     1.3540E17    4.4906E-12   1.2381E-13    58740.233402778    58745.250798611
2.7570E18     1.3540E17    4.6955E-12   1.4959E-13    58740.233402778    58745.250798611
3.0270E18     1.3540E17    4.6931E-12   1.7509E-13    58740.233402778    58745.250798611
3.2980E18     1.3540E17    4.6808E-12   1.9973E-13    58740.233402778    58745.250798611
3.5690E18     1.3540E17    4.9797E-12   2.3173E-13    58740.233402778    58745.250798611
3.8400E18     1.3540E17    5.1854E-12   2.6393E-13    58740.233402778    58745.250798611
4.1110E18     1.3540E17    5.3546E-12   2.9783E-13    58740.233402778    58745.250798611
4.3810E18     1.3540E17    5.4368E-12   3.3145E-13    58740.233402778    58745.250798611
4.6520E18     1.3540E17    5.2542E-12   3.6169E-13    58740.233402778    58745.250798611
4.9230E18     1.3540E17    5.7682E-12   4.1423E-13    58740.233402778    58745.250798611
5.1940E18     1.3540E17    5.8696E-12   4.6513E-13    58740.233402778    58745.250798611
5.4670E18     1.3780E17    5.5139E-12   5.0546E-13    58740.233402778    58745.250798611
5.7400E18     1.3540E17    6.6312E-12   6.1161E-13    58740.233402778    58745.250798611
6.0110E18     1.3540E17    6.8936E-12   7.3071E-13    58740.233402778    58745.250798611
6.2840E18     1.3780E17    5.0488E-12   6.7896E-13    58740.233402778    58745.250798611
6.5650E18     1.4270E17    6.7856E-12   8.5350E-13    58740.233402778    58745.250798611
6.8450E18     1.3780E17    6.5288E-12   1.0113E-12    58740.233402778    58745.250798611
7.1280E18     1.4510E17    6.7277E-12   9.9815E-13    58740.233402778    58745.250798611
7.4090E18     1.3540E17    7.6115E-12   1.2889E-12    58740.233402778    58745.250798611
7.6920E18     1.4750E17    5.8463E-12   1.1382E-12    58740.233402778    58745.250798611
7.9990E18     1.5960E17    7.0503E-12   1.1813E-12    58740.233402778    58745.250798611
8.3230E18     1.6440E17    5.2908E-12   1.1581E-12    58740.233402778    58745.250798611
8.6560E18     1.6930E17    8.8806E-12   1.4516E-12    58740.233402778    58745.250798611
8.9970E18     1.7170E17    5.7204E-12   1.3385E-12    58740.233402778    58745.250798611
9.3480E18     1.7890E17    6.2790E-12   1.5442E-12    58740.233402778    58745.250798611
