# RA = 16 53 52.21 (253.46754)
# Dec = +39 45 37.58 (39.76044)
# Redshift = 0.0
# nH = 1.69E20 cm^-2 
# NuBlazar (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.6080E17     1.3540E17    4.6028E-11   6.8041E-13    56395.104895833    56395.528599537
1.1320E18     1.3540E17    4.3158E-11   6.5756E-13    56395.104895833    56395.528599537
1.4020E18     1.3540E17    4.1593E-11   6.9976E-13    56395.104895833    56395.528599537
1.6730E18     1.3540E17    4.0245E-11   7.6401E-13    56395.104895833    56395.528599537
1.9440E18     1.3540E17    3.8390E-11   8.3450E-13    56395.104895833    56395.528599537
2.2150E18     1.3540E17    3.7112E-11   9.1729E-13    56395.104895833    56395.528599537
2.4860E18     1.3540E17    3.5575E-11   1.0404E-12    56395.104895833    56395.528599537
2.7570E18     1.3540E17    3.6082E-11   1.2292E-12    56395.104895833    56395.528599537
3.0270E18     1.3540E17    3.2852E-11   1.3706E-12    56395.104895833    56395.528599537
3.2980E18     1.3540E17    3.3305E-11   1.5692E-12    56395.104895833    56395.528599537
3.5690E18     1.3540E17    3.2585E-11   1.7447E-12    56395.104895833    56395.528599537
3.8400E18     1.3540E17    3.0495E-11   1.8823E-12    56395.104895833    56395.528599537
4.1110E18     1.3540E17    2.7980E-11   2.0031E-12    56395.104895833    56395.528599537
4.3810E18     1.3540E17    2.9605E-11   2.2668E-12    56395.104895833    56395.528599537
4.6520E18     1.3540E17    2.5231E-11   2.2976E-12    56395.104895833    56395.528599537
4.9250E18     1.3780E17    3.0051E-11   2.7100E-12    56395.104895833    56395.528599537
5.2040E18     1.4020E17    3.0061E-11   2.9315E-12    56395.104895833    56395.528599537
5.4790E18     1.3540E17    3.4360E-11   3.4944E-12    56395.104895833    56395.528599537
5.7620E18     1.4750E17    2.6556E-11   3.2719E-12    56395.104895833    56395.528599537
6.0640E18     1.5480E17    2.8358E-11   3.6652E-12    56395.104895833    56395.528599537
6.4000E18     1.8130E17    2.4353E-11   3.5623E-12    56395.104895833    56395.528599537
