MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140070008841,12.42,0.05,253.46785,39.76028,53552.34825,0
1140070008841,12.44,0.05,253.46785,39.76029,53552.35698,0
1140070008841,12.41,0.05,253.46785,39.76032,53552.36573,0
1140070008841,12.42,0.05,253.46786,39.76034,53552.37444,0
1140070008841,12.44,0.05,253.46783,39.76026,53561.20974,0
1140070008841,12.38,0.05,253.4679,39.76026,53561.21723,0
1140070008841,12.43,0.05,253.46788,39.76027,53561.22485,0
1140070008841,12.36,0.05,253.46782,39.76028,53526.3025,0
1140070008841,12.37,0.05,253.46783,39.76034,53526.31327,0
1140070008841,12.37,0.05,253.46784,39.7603,53526.32384,0
1140070008841,12.38,0.05,253.46778,39.76035,53526.33417,0
1140070008841,12.38,0.05,253.46778,39.76034,53534.31197,0
1140070008841,12.38,0.05,253.46779,39.76029,53534.32092,0
1140070008841,12.4,0.05,253.46779,39.76031,53534.32938,0
1140070008841,12.39,0.05,253.46777,39.76028,53534.33776,0
1140070008841,12.51,0.05,253.46792,39.76033,53686.05926,0
1140070008841,12.48,0.05,253.4679,39.7603,53686.06774,0
1140070008841,12.49,0.05,253.46761,39.7605,53686.07198,0
1140070008841,12.44,0.05,253.46786,39.7603,53688.062,0
1140070008841,12.46,0.05,253.46756,39.76079,53694.06208,0
1140070008841,12.49,0.05,253.46768,39.76049,53694.06537,0
1140070008841,12.48,0.05,253.46786,39.76035,53694.06856,0
1140070008841,12.5,0.05,253.46787,39.7603,53694.07189,0
1140070008841,12.44,0.05,253.46785,39.76031,53644.13856,0
1140070008841,12.47,0.05,253.46782,39.76029,53644.14511,0
1140070008841,12.45,0.05,253.46789,39.76037,53644.15164,0
1140070008841,12.49,0.05,253.46793,39.7603,53644.1582,0
1140070008841,12.53,0.05,253.46783,39.7603,53657.11685,0
1140070008841,12.48,0.05,253.46784,39.76028,53657.12337,0
1140070008841,12.5,0.05,253.46778,39.7603,53657.12973,0
1140070008841,12.51,0.05,253.46788,39.76028,53657.13609,0
1140070008841,12.52,0.05,253.46791,39.76031,53834.2999,0
1140070008841,12.53,0.05,253.46786,39.76038,53834.30766,0
1140070008841,12.52,0.05,253.46788,39.76035,53834.3154,0
1140070008841,12.47,0.05,253.46788,39.76029,53834.32312,0
1140070008841,12.46,0.05,253.46784,39.76026,53848.39652,0
1140070008841,12.48,0.05,253.46781,39.76031,53848.40748,0
1140070008841,12.46,0.05,253.46784,39.76032,53848.41853,0
1140070008841,12.46,0.05,253.46787,39.7603,53848.4295,0
1140070008841,12.47,0.05,253.46786,39.76034,53854.46237,0
1140070008841,12.46,0.05,253.46781,39.76033,53854.47429,0
1140070008841,12.49,0.05,253.46785,39.76031,53854.48027,0
1140070008841,12.5,0.05,253.46786,39.76028,53855.437,0
1140070008841,12.46,0.05,253.46781,39.76033,53855.44436,0
1140070008841,12.49,0.05,253.46784,39.76033,53855.45176,0
1140070008841,12.48,0.05,253.46788,39.76029,53855.45889,0
1140070008841,12.57,0.06,253.46793,39.7603,53891.32038,0
1140070008841,12.51,0.06,253.4679,39.76035,53891.32202,0
1140070008841,12.55,0.06,253.46786,39.76024,53891.32356,0
1140070008841,12.56,0.06,253.46786,39.76041,53891.32503,0
1140070008841,12.61,0.06,253.46795,39.76024,53901.43575,0
1140070008841,12.6,0.06,253.4679,39.76029,53901.43672,0
1140070008841,12.59,0.06,253.46787,39.76036,53901.43786,0
1140070008841,12.61,0.06,253.46784,39.76032,53901.43883,0
1140070008841,12.45,0.05,253.46782,39.76034,53796.4777,0
1140070008841,12.44,0.05,253.46784,39.76031,53796.48416,0
1140070008841,12.43,0.05,253.46779,39.76032,53796.49062,0
1140070008841,12.45,0.05,253.46786,39.76026,53796.4971,0
1140070008841,12.44,0.05,253.46785,39.76029,53862.38383,0
1140070008841,12.46,0.05,253.46788,39.76029,53862.39153,0
1140070008841,12.47,0.05,253.46784,39.76031,53862.39863,0
1140070008841,12.46,0.05,253.46782,39.76034,53862.40556,0
1140070008841,12.37,0.05,253.46783,39.76033,53883.40773,0
1140070008841,12.45,0.05,253.46785,39.76031,53883.41514,0
1140070008841,12.46,0.05,253.46785,39.76028,53883.42256,0
1140070008841,12.46,0.05,253.46781,39.7603,53883.42992,0
1140070008841,12.63,0.05,253.46773,39.76025,53995.15995,0
1140070008841,12.65,0.05,253.46773,39.76025,53995.16957,0
1140070008841,12.63,0.05,253.46774,39.76025,53995.17916,0
1140070008841,12.48,0.05,253.46788,39.76028,53995.18877,0
1140070008841,12.62,0.05,253.46774,39.76026,54003.15589,0
1140070008841,12.64,0.05,253.46776,39.76024,54003.16231,0
1140070008841,12.61,0.05,253.46775,39.76024,54003.16878,0
1140070008841,12.62,0.05,253.46779,39.76024,54003.1752,0
1140070008841,12.64,0.05,253.46772,39.76026,54208.44309,0
1140070008841,12.63,0.05,253.46776,39.76023,54208.45237,0
1140070008841,12.65,0.05,253.46775,39.76026,54208.46237,0
1140070008841,12.66,0.05,253.46776,39.76024,54208.47185,0
1140070008841,12.7,0.05,253.46774,39.76023,54157.44945,0
1140070008841,12.69,0.05,253.46774,39.76026,54157.45867,0
1140070008841,12.67,0.05,253.46776,39.76023,54157.46794,0
1140070008841,12.58,0.05,253.46783,39.76027,54157.47719,0
1140070008841,12.71,0.05,253.46776,39.76029,54286.16434,0
1140070008841,12.68,0.05,253.46774,39.76026,54286.17309,0
1140070008841,12.6,0.05,253.46775,39.76027,54286.18181,0
1140070008841,12.71,0.05,253.46773,39.76027,54286.19057,0
1140070008841,12.65,0.05,253.46772,39.76023,54295.28931,0
1140070008841,12.57,0.05,253.46775,39.76029,54295.2948,0
1140070008841,12.68,0.05,253.46775,39.76021,54295.30027,0
1140070008841,12.64,0.05,253.46775,39.76025,54295.30574,0
1140070008841,12.55,0.05,253.46778,39.76025,54261.3289,0
1140070008841,12.45,0.05,253.4678,39.76027,54261.33711,0
1140070008841,12.55,0.05,253.46783,39.76026,54261.3453,0
1140070008841,12.54,0.05,253.46786,39.76025,54261.35341,0
1140070008841,12.53,0.05,253.46783,39.76026,54273.32832,0
1140070008841,12.54,0.05,253.46786,39.7602,54273.33599,0
1140070008841,12.56,0.05,253.46786,39.76024,54273.36158,0
1140070008841,12.7,0.05,253.46777,39.76024,54279.31352,0
1140070008841,12.6,0.05,253.46786,39.76026,54279.32002,0
1140070008841,12.71,0.05,253.46774,39.76022,54279.3265,0
1140070008841,12.56,0.05,253.46782,39.76026,54279.333,0
1140070008841,12.72,0.05,253.46778,39.76024,54177.46658,0
1140070008841,12.64,0.05,253.46774,39.76025,54177.47594,0
1140070008841,12.57,0.05,253.46788,39.76027,54177.48525,0
1140070008841,12.68,0.05,253.46777,39.76025,54177.49558,0
1140070008841,12.66,0.05,253.46777,39.76025,54228.41689,0
1140070008841,12.64,0.05,253.46776,39.76025,54228.42537,0
1140070008841,12.58,0.05,253.46788,39.76024,54228.43312,0
1140070008841,12.67,0.05,253.46774,39.76025,54228.44055,0
1140070008841,12.63,0.05,253.46777,39.76027,54235.31094,0
1140070008841,12.64,0.05,253.46775,39.76025,54235.31636,0
1140070008841,12.62,0.05,253.46777,39.76024,54235.32177,0
1140070008841,12.64,0.05,253.46778,39.76025,54235.32715,0
1140070008841,12.63,0.05,253.46772,39.76025,54246.35157,0
1140070008841,12.54,0.05,253.46783,39.76027,54246.36155,0
1140070008841,12.66,0.05,253.46774,39.76026,54246.37111,0
1140070008841,12.69,0.05,253.46777,39.76025,54246.38018,0
1140070008841,12.51,0.05,253.46804,39.76063,54406.08127,0
1140070008841,12.52,0.05,253.46809,39.76079,54406.08558,0
1140070008841,12.62,0.05,253.46799,39.76077,54406.08988,0
1140070008841,12.52,0.05,253.46814,39.76071,54406.09419,0
1140070008841,12.65,0.05,253.46785,39.76064,54407.0847,0
1140070008841,12.58,0.05,253.46772,39.7605,54407.08854,0
1140070008841,12.6,0.05,253.46777,39.76049,54407.09241,0
1140070008841,12.65,0.05,253.4677,39.76075,54407.09626,0
1140070008841,12.6,0.05,253.46786,39.76099,54385.10633,0
1140070008841,12.65,0.05,253.46849,39.76104,54385.11067,0
1140070008841,12.58,0.05,253.46788,39.76092,54385.11501,0
